transactionid,transactiondate,customerid,productid,storeid,campaignid,totalamount,quantitysold,paymentmethod,salesrepresentative,unit_price
227,2025-08-01,1041,2060,405,0,557.27,1,Credit Card,S. Patel,557.27
228,2025-01-21,1023,2073,402,1,1455.42,2,Cash,J. Alvarez,727.71
229,2025-07-17,1021,2018,402,1,2050.76,2,Cash,M. Chen,1025.38
230,2025-01-05,1007,2077,405,1,3283.0,4,Credit Card,S. Patel,820.75
231,2025-08-30,1010,2079,405,1,2054.6,2,Cash,L. Martinez,1027.3
232,2025-08-06,1048,2026,405,4,3958.11,3,PayPal,R. Johnson,1319.3700000000001
233,2025-09-07,1064,2003,403,0,7875.04,4,Credit Card,R. Johnson,1968.76
234,2025-05-29,1042,2069,404,0,2541.38,2,Apple Pay,R. Johnson,1270.69
235,2025-02-04,1098,2093,401,2,414.98,2,PayPal,R. Johnson,207.49
236,2024-05-27,1018,2038,401,1,504.03,3,Cash,J. Alvarez,168.01
237,2024-10-05,1035,2110,403,2,249.34,1,PayPal,S. Patel,249.34
238,2025-04-20,1010,2022,405,3,2984.9,2,Debit Card,M. Chen,1492.45
239,2024-02-15,1035,2009,405,1,1074.38,1,Credit Card,D. Williams,1074.38
240,2025-10-29,1004,2021,401,0,4302.04,3,Apple Pay,D. Williams,1434.0133333333333
241,2025-10-08,1396,2078,403,4,2316.5,2,Credit Card,J. Alvarez,1158.25
242,2025-06-04,1070,2063,405,0,1090.59,1,Apple Pay,S. Patel,1090.59
243,2024-02-14,1207,2075,403,0,3908.84,4,PayPal,S. Patel,977.21
244,2024-04-07,1010,2009,405,0,1074.38,1,Apple Pay,K. Nguyen,1074.38
245,2025-11-17,1088,2038,404,0,168.01,1,PayPal,R. Johnson,168.01
246,2024-10-25,1036,2109,404,4,1039.02,3,PayPal,M. Chen,346.34
247,2024-07-06,1022,2008,401,0,3282.89,3,Cash,S. Patel,1094.2966666666666
248,2025-11-16,1007,2002,401,0,1468.87,1,Debit Card,S. Patel,1468.87
249,2024-07-14,1037,2038,401,4,168.01,1,Credit Card,D. Williams,168.01
250,2025-10-01,1395,2095,401,3,680.61,3,Apple Pay,K. Nguyen,226.87
252,2024-03-04,1036,2029,402,2,3343.52,2,Credit Card,D. Williams,1671.76
253,2024-12-15,1057,2036,401,0,254.63,1,Cash,J. Alvarez,254.63
254,2024-03-16,1010,2110,405,4,498.68,2,Credit Card,J. Alvarez,249.34
255,2025-03-19,1059,2011,401,2,3939.2,4,Debit Card,A. Torres,984.8
257,2024-11-13,1046,2028,403,0,1417.82,1,Cash,J. Alvarez,1417.82
258,2025-06-18,1099,2083,403,0,3892.32,3,PayPal,K. Nguyen,1297.44
259,2024-01-21,1207,2011,402,0,984.8,1,Apple Pay,K. Nguyen,984.8
260,2024-11-01,1289,2001,403,2,1560.58,1,Credit Card,A. Torres,1560.58
261,2024-07-31,1053,2000,404,1,1077.53,1,Apple Pay,L. Martinez,1077.53
262,2024-01-18,1060,2032,401,3,724.32,3,Debit Card,D. Williams,241.44000000000003
263,2024-11-20,1106,2087,402,2,2896.06,2,Debit Card,A. Torres,1448.03
265,2025-05-02,1165,2015,401,4,1449.16,1,Credit Card,J. Alvarez,1449.16
266,2024-06-02,1044,2025,401,0,4292.44,4,PayPal,L. Martinez,1073.11
267,2025-05-09,1366,2071,404,0,5679.12,4,Debit Card,K. Nguyen,1419.78
268,2025-05-07,1032,2093,405,2,414.98,2,Apple Pay,A. Torres,207.49
269,2024-11-16,1053,2062,403,2,2686.96,4,PayPal,S. Patel,671.74
270,2025-05-09,1329,2029,403,0,5015.28,3,Cash,R. Johnson,1671.76
271,2024-07-11,1035,2030,405,0,440.15,3,Apple Pay,S. Patel,146.71666666666667
272,2024-10-16,1060,2076,402,1,1256.39,1,Apple Pay,J. Alvarez,1256.39
273,2024-11-17,1070,2072,404,1,3251.16,4,PayPal,D. Williams,812.79
274,2024-11-16,1184,2052,405,0,835.08,4,Credit Card,K. Nguyen,208.77
275,2025-02-20,1006,2074,401,0,2743.16,2,Debit Card,A. Torres,1371.58
277,2025-04-23,1289,2057,404,0,1144.64,4,Apple Pay,L. Martinez,286.16
278,2025-09-16,1022,2072,403,0,1625.58,2,PayPal,A. Torres,812.79
279,2024-10-17,1026,2046,405,4,198.58,1,Debit Card,J. Alvarez,198.58
280,2024-11-10,1033,2092,401,2,1465.36,4,Credit Card,R. Johnson,366.34
281,2024-05-10,1034,2027,405,3,3423.62,2,Apple Pay,D. Williams,1711.81
283,2025-11-01,1145,2002,402,0,2937.74,2,Cash,S. Patel,1468.87
284,2025-11-19,1032,2024,404,3,5988.7,5,Credit Card,M. Chen,1197.74
285,2025-06-23,1316,2087,404,3,5792.12,4,Apple Pay,M. Chen,1448.03
287,2025-09-29,1037,2034,401,3,442.56,4,Credit Card,D. Williams,110.64
288,2024-12-26,1334,2085,405,3,2322.62,2,Debit Card,L. Martinez,1161.31
289,2025-09-01,1033,2072,402,0,812.79,1,Cash,D. Williams,812.79
290,2024-06-24,1048,2016,402,0,5062.92,4,Cash,S. Patel,1265.73
291,2024-01-11,1048,2012,405,0,683.77,1,Cash,J. Alvarez,683.77
292,2025-06-23,1071,2115,401,0,943.98,3,Apple Pay,L. Martinez,314.66
293,2025-06-29,1207,2077,402,4,3283.0,4,Debit Card,M. Chen,820.75
294,2025-05-07,1053,2004,405,2,2261.92,2,Credit Card,J. Alvarez,1130.96
295,2024-03-07,1039,2034,403,1,442.56,4,Apple Pay,M. Chen,110.64
296,2025-07-20,1073,2119,403,0,1455.15,3,Cash,D. Williams,485.05
299,2025-07-04,1018,2019,405,0,1521.74,1,PayPal,L. Martinez,1521.74
300,2025-11-18,1173,2019,403,4,3305.12,2,Debit Card,M. Chen,1652.56
301,2025-07-19,1039,2106,404,0,608.64,3,Apple Pay,S. Patel,202.88
302,2024-03-25,1058,2045,402,2,1180.84,4,Cash,A. Torres,295.21
303,2024-06-16,1043,2068,401,0,905.12,1,Cash,A. Torres,905.12
304,2025-07-19,1029,2016,403,0,5062.92,4,Credit Card,A. Torres,1265.73
305,2025-02-14,1024,2042,404,4,405.68,2,Debit Card,M. Chen,202.84
306,2024-12-05,1028,2070,403,0,1215.15,1,PayPal,J. Alvarez,1215.15
307,2025-07-20,1213,2074,405,4,1371.58,1,Credit Card,M. Chen,1371.58
308,2025-06-27,1006,2090,403,0,1601.04,4,PayPal,L. Martinez,400.26
309,2024-11-21,1346,2007,401,0,5938.52,4,Apple Pay,R. Johnson,1484.63
310,2025-11-18,1154,2087,404,0,2896.06,2,Credit Card,M. Chen,1448.03
311,2024-10-11,1021,2005,401,0,1834.46,1,Credit Card,M. Chen,1834.46
312,2025-11-12,1010,2058,401,3,373.12,3,Credit Card,D. Williams,124.37333333333333
313,2024-05-11,1154,2048,402,3,280.71,1,Credit Card,M. Chen,280.71
314,2024-11-09,1307,2009,405,0,3223.14,3,Debit Card,D. Williams,1074.3799999999999
315,2024-04-22,1030,2065,403,0,1830.54,2,PayPal,D. Williams,915.27
316,2025-04-11,1010,2034,404,4,331.92,3,PayPal,D. Williams,110.64
317,2024-03-30,1037,2055,405,3,222.99,1,Credit Card,A. Torres,222.99
319,2024-12-11,1254,2070,403,2,3645.45,3,PayPal,A. Torres,1215.1499999999999
320,2024-08-25,1289,2090,402,0,800.52,2,Debit Card,R. Johnson,400.26
321,2025-03-28,1098,2012,405,3,1769.24,3,Credit Card,K. Nguyen,589.7466666666667
322,2025-05-25,1138,2004,404,0,3946.47,3,Credit Card,D. Williams,1315.49
323,2024-06-14,1030,2075,405,2,3908.84,4,Apple Pay,J. Alvarez,977.21
324,2024-09-16,1025,2020,405,1,5173.68,4,Apple Pay,A. Torres,1293.42
325,2025-11-12,1124,2042,401,1,1014.2,5,Debit Card,K. Nguyen,202.84
326,2024-05-22,1074,2035,403,0,744.16,4,Cash,K. Nguyen,186.04
327,2024-10-13,1001,2050,401,0,956.88,4,Apple Pay,A. Torres,239.22
328,2024-10-15,1171,2039,401,0,336.06,2,Credit Card,S. Patel,168.03
329,2025-06-09,1008,2115,405,3,1463.9,5,Credit Card,K. Nguyen,292.78000000000003
330,2025-11-03,1043,2002,403,4,4406.61,3,Apple Pay,D. Williams,1468.87
331,2024-12-15,1143,2074,404,4,4114.74,3,Apple Pay,D. Williams,1371.58
332,2025-08-11,1372,2015,403,0,1449.16,1,PayPal,S. Patel,1449.16
334,2024-08-31,1007,2009,401,2,2148.76,2,Credit Card,K. Nguyen,1074.38
335,2024-11-27,1008,2001,402,2,5789.73,4,Cash,L. Martinez,1447.4325
336,2024-02-17,1041,2105,402,3,497.32,2,Debit Card,M. Chen,248.66
337,2024-12-06,1285,2061,404,0,3968.31,3,Debit Card,K. Nguyen,1322.77
338,2025-06-16,1114,2016,402,0,2531.46,2,Debit Card,L. Martinez,1265.73
339,2025-07-02,1004,2004,402,3,2630.98,2,Cash,D. Williams,1315.49
340,2024-12-27,1263,2072,402,0,1625.58,2,Cash,D. Williams,812.79
341,2024-08-07,1042,2106,403,2,202.88,1,Cash,A. Torres,202.88
342,2024-06-04,1088,2104,405,4,1979.48,4,Credit Card,L. Martinez,494.87
343,2024-12-26,1106,2083,403,0,2594.88,2,PayPal,R. Johnson,1297.44
344,2025-01-07,1104,2022,402,2,1492.45,1,PayPal,S. Patel,1492.45
345,2025-04-01,1040,2095,405,3,453.74,2,PayPal,S. Patel,226.87
346,2024-07-31,1003,2024,401,3,1197.74,1,Apple Pay,R. Johnson,1197.74
347,2025-04-08,1034,2083,402,1,3892.32,3,Credit Card,A. Torres,1297.44
348,2024-10-27,1068,2001,404,3,4681.74,3,Credit Card,R. Johnson,1560.58
350,2025-05-24,1064,2058,405,1,553.04,4,PayPal,K. Nguyen,138.26
351,2025-09-07,1039,2025,401,2,1073.11,1,Apple Pay,M. Chen,1073.11
352,2025-05-22,1046,2116,402,0,481.82,1,Credit Card,A. Torres,481.82
353,2025-06-05,1081,2009,402,1,3009.73,3,PayPal,R. Johnson,1003.2433333333333
354,2024-09-03,1298,2003,401,0,3937.52,2,PayPal,J. Alvarez,1968.76
